id,symbol,timeframe,direction,pattern_type,entry_price,sl_price,tp1_price,tp2_price,tp3_price,exit_type,status,pnl_r,pnl_percent,context_trend_before,context_was_reversal,context_swing_count_20,context_recent_direction,context_distance_from_ema,pattern_score,trend_alignment,clearance_15m,post_sl_outcome,post_sl_max_favorable_r,post_sl_time_to_tp_min,mfe_r,mae_r,signal_time,time_to_sl_min,atr_15m,free_path_r,clearance_1h,r_available,actual_rr_tp1,actual_rr_tp2,actual_rr_tp3,multi_tf_alignment,confluence_score
96,KAITOUSDT,15m,LONG,pinbar_buy,1.15000000,1.13820230,,1.17419540,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-27 18:45:15.283876,,,,,,,,,,
94,APRUSDT,15m,SHORT,pinbar_sell,0.34832000,0.35426561,,0.33597879,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-27 17:30:19.587713,,,,,,,,,,
91,NFPUSDT,15m,SHORT,fakey_sell,0.04398000,0.04464572,,0.04258857,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-27 16:45:13.18418,,,,,,,,,,
90,ILVUSDT,15m,SHORT,pinbar_sell,11.92600000,12.04200000,,11.73000000,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-27 16:30:22.517249,,,,,,,,,,
89,TURTLEUSDT,15m,SHORT,pinbar_sell,0.18850000,0.19096605,,0.18386790,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-27 16:15:19.54157,,,,,,,,,,
88,APRUSDT,15m,SHORT,pinbar_sell,0.34506000,0.35214822,,0.33382356,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-27 16:15:15.201374,,,,,,,,,,
81,MERLUSDT,15m,LONG,pinbar_buy,0.40916000,0.40433984,,0.41868032,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-27 15:45:18.929873,,,,,,,,,,
76,TURTLEUSDT,15m,LONG,pinbar_buy,0.19760000,0.19322135,,0.20755730,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-27 07:00:30.956354,,,,,,,,,,
74,2ZUSDT,15m,LONG,pinbar_buy,0.24508000,0.24162135,,0.25028729,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-27 06:48:47.984419,,,,,,,,,,
73,VIRTUALUSDT,15m,LONG,pinbar_buy,1.49420000,1.47482000,,1.53836000,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-27 06:48:08.028901,,,,,,,,,,
72,WIFUSDT,15m,LONG,pinbar_buy,0.56930000,0.56481620,,0.57916760,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-27 06:46:19.489015,,,,,,,,,,
71,OGUSDT,15m,SHORT,pinbar_sell,13.83000000,14.00886000,,13.45428000,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-27 06:33:17.637905,,,,,,,,,,
70,DOODUSDT,15m,LONG,pinbar_buy,0.00788700,0.00782153,,0.00802994,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-27 00:03:34.639322,,,,,,,,,,
64,SOPHUSDT,15m,SHORT,pinbar_sell,0.02880000,0.02926407,,0.02811487,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-26 22:18:31.033226,,,,,,,,,,
63,BLESSUSDT,15m,SHORT,pinbar_sell,0.04257000,0.04408375,,0.03864249,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-26 22:17:48.600691,,,,,,,,,,
60,ASTERUSDT,15m,LONG,pinbar_buy,1.13050000,1.11538245,,1.16193510,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-26 21:45:52.960566,,,,,,,,,,
59,OGUSDT,15m,SHORT,pinbar_sell,13.79800000,13.97775150,,13.40549700,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-26 21:45:20.763476,,,,,,,,,,
55,LIGHTUSDT,15m,SHORT,pinbar_sell,2.27940000,2.35350855,,2.20588290,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-26 20:32:52.467724,,,,,,,,,,
54,XMRUSDT,15m,LONG,pinbar_buy,347.23000000,343.58323500,,352.63353000,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-26 20:16:43.774846,,,,,,,,,,
48,FFUSDT,15m,LONG,pinbar_buy,0.18254000,0.16747179,,0.21039642,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-26 19:15:16.80065,,,,,,,,,,
46,NEIROUSDT,15m,LONG,pinbar_buy,0.00019970,0.00019761,,0.00020389,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-26 15:16:36.28133,,,,,,,,,,
45,GALAUSDT,15m,LONG,fakey_buy,0.01141000,0.01129035,,0.01164931,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-26 15:16:07.170075,,,,,,,,,,
44,HANAUSDT,15m,LONG,pinbar_buy,0.05380000,0.05238826,,0.05662348,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-26 14:02:23.848658,,,,,,,,,,
43,TRXUSDT,15m,SHORT,pinbar_sell,0.29960000,0.31036313,,0.27807374,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-26 13:16:06.74508,,,,,,,,,,
