id,symbol,timeframe,direction,pattern_type,entry_price,sl_price,tp1_price,tp2_price,tp3_price,exit_type,status,pnl_r,pnl_percent,context_trend_before,context_was_reversal,context_swing_count_20,context_recent_direction,context_distance_from_ema,pattern_score,trend_alignment,clearance_15m,post_sl_outcome,post_sl_max_favorable_r,post_sl_time_to_tp_min,mfe_r,mae_r,signal_time,time_to_sl_min,time_to_tp1_min,time_to_tp2_min,time_to_tp3_min,time_to_be_min,atr_15m,free_path_r,clearance_1h,r_available,actual_rr_tp1,actual_rr_tp2,actual_rr_tp3,multi_tf_alignment,confluence_score,be_activated,trailing_activated,partial_closed,partial_close_p1,partial_close_p2,partial_close_p3,initial_sl,current_sl,position_size,spread_percent,depth_1pct_bid,depth_1pct_ask,order_book_imbalance,volume_24h_usdt,dist_to_dir_h1_zone_atr,dist_to_dir_h4_zone_atr,arrival_pattern
103,GIGGLEUSDT,15m,SHORT,pinbar_sell,171.87000000,174.66921000,,167.74158000,,,TP2_HIT,,,,,,,,,,,,,,,,2025-10-27 21:45:18.249089,,,,,,,,,,,,,,,f,f,0.00,,,,,174.66921000,100.00,,,,,,,,
95,SOMIUSDT,15m,SHORT,pinbar_sell,0.49680000,0.50395770,,0.48398460,,,TP2_HIT,,,,,,,,,,,,,,,,2025-10-27 17:30:22.99341,,,,,,,,,,,,,,,f,f,0.00,,,,,0.49680000,100.00,,,,,,,,
75,HUSDT,15m,LONG,pinbar_buy,0.31432000,0.30745015,,0.32760971,,,TP2_HIT,,,downtrend,t,6,bearish,-1.9460,,against,0.06544000,,,,,,2025-10-27 06:48:51.983354,,,,,,,,,,,,,,,f,f,0.00,,,,,0.31432000,100.00,,,,,,,,
65,DIAUSDT,15m,LONG,pinbar_buy,0.53620000,0.51140380,,0.55459240,,,TP2_HIT,,,uptrend,f,7,bullish,5.1082,,with,,,,,,,2025-10-26 22:47:38.279761,,,,,,,,,,,,,,,f,f,0.00,,,,,0.53620000,100.00,,,,,,,,
61,BCHUSDT,15m,LONG,pinbar_buy,553.10000000,546.16172000,,562.83656000,,,TP2_HIT,,,uptrend,f,12,bearish,0.1604,,with,12.00000000,,,,,,2025-10-26 22:00:24.906715,,,,,,,,,,,,,,,f,f,0.00,,,,,553.10000000,100.00,,,,,,,,
58,VVVUSDT,15m,LONG,pinbar_buy,1.71000000,1.67511650,,1.77676700,,,TP2_HIT,,,uptrend,t,8,bearish,-0.9545,,with,,,,,,,2025-10-26 21:45:16.692118,,,,,,,,,,,,,,,f,f,0.00,,,,,1.71000000,100.00,,,,,,,,
57,BANANAUSDT,15m,LONG,pinbar_buy,13.78500000,13.70486450,,14.00227100,,,TP2_HIT,,,uptrend,f,6,bullish,-0.6170,,with,1.12600000,,,,,,2025-10-26 21:32:30.067814,,,,,,,,,,,,,,,f,f,0.00,,,,,13.78500000,100.00,,,,,,,,
56,OPENUSDT,15m,LONG,pinbar_buy,0.38870000,0.38494795,,0.39650410,,,TP2_HIT,,,downtrend,t,9,bearish,-0.9895,,against,0.00160000,,,,,,2025-10-26 21:15:50.088338,,,,,,,,,,,,,,,f,f,0.00,,,,,0.38870000,100.00,,,,,,,,
53,AVNTUSDT,15m,LONG,pinbar_buy,0.77520000,0.76969660,,0.79040680,,,TP2_HIT,,,downtrend,f,9,bearish,-0.8425,,against,0.03070000,,,,,,2025-10-26 20:16:28.730535,,,,,,,,,,,,,,,f,f,0.00,,,,,0.77520000,100.00,,,,,,,,
50,ICPUSDT,15m,LONG,pinbar_buy,3.23400000,3.21470900,,3.27858200,,,TP2_HIT,,,uptrend,f,6,choppy,-0.0543,,with,,,,,,,2025-10-26 19:31:27.223366,,,,,,,,,,,,,,,f,f,0.00,,,,,3.21470900,100.00,,,,,,,,
49,ATOMUSDT,15m,LONG,pinbar_buy,3.23100000,3.21271600,,3.27056800,,,TP2_HIT,,,uptrend,f,7,choppy,0.0068,,with,,,,,,,2025-10-26 19:30:59.158721,,,,,,,,,,,,,,,f,f,0.00,,,,,3.23100000,100.00,,,,,,,,
47,HIPPOUSDT,15m,LONG,pinbar_buy,0.00159600,0.00152365,,0.00174070,,,TP2_HIT,,,uptrend,t,7,bearish,-2.1940,,with,0.00020400,,,,,,2025-10-26 15:47:15.215289,,,,,,,,,,,,,,,f,f,0.00,,,,,0.00159600,100.00,,,,,,,,
