id,symbol,timeframe,pattern_type,entry_price,sl_price,tp2_price,current_sl,status,direction,created_at,updated_at,telegram_message_id,tp1_price,tp3_price,initial_sl,position_size,partial_closed,be_activated,trailing_activated,exit_type,pnl_r,pnl_percent,atr_15m,atr_h4,dist_to_dir_h1_zone_atr,dist_to_dir_h4_zone_atr,free_path_r,arrival_pattern,mfe_r,mae_r,time_to_tp1_min,time_to_tp2_min,time_to_tp3_min,time_to_sl_min,time_to_be_min,first_touch,clearance_15m,clearance_1h,r_available,zone_test_count_24h,veto_reason,sl_buffer_atr15,pattern_score,pattern_score_factors,swing_extreme_price,sl_buffer_atr,round_number_adjusted,min_distance_from_zone,tp1_limited_by_zone,tp2_limited_by_zone,tp3_limited_by_zone,nearest_resistance_distance_r,actual_rr_tp1,actual_rr_tp2,actual_rr_tp3,dynamic_min_rr,dynamic_min_rr_adjustments,dynamic_min_rr_reasoning,trend_alignment,multi_tf_alignment,atr_volatility,rr_validation_passed,rr_validation_message,confluence_score,confluence_details,partial_close_p1,partial_close_p2,partial_close_p3,strategy_profile
125,RVVUSDT,15m,pinbar_buy,0.00850500,0.00839325,0.00872849,0.00839325,SL_HIT,LONG,2025-11-03 00:15:17.390232,2025-11-03 00:41:02.422,2272,0.00872849,0.00872849,0.00839325,100.00,100.00,f,f,SL_HIT,-1.0000,-1.3139,0.00008582,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,2.00,2.00,,,,,,,,,,,0.00,100.00,0.00,SCALP_15M
124,LINEAUSDT,15m,fakey_buy,0.01399000,0.01378077,0.01440846,0.01378077,SL_HIT,LONG,2025-11-03 00:15:13.924044,2025-11-03 00:56:02.565,2271,0.01440846,0.01440846,0.01378077,100.00,100.00,f,f,SL_HIT,-1.0000,-1.4956,0.00013077,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,2.00,2.00,,,,,,,,,,,0.00,100.00,0.00,SCALP_15M
123,BLESSUSDT,15m,pinbar_buy,0.04175000,0.04032153,0.04432124,0.04032153,SL_HIT,LONG,2025-11-02 23:30:11.459068,2025-11-03 01:45:02.208,2269,0.04432124,0.04432124,0.04032153,100.00,100.00,f,f,SL_HIT,-1.0000,-3.4215,0.00109489,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.80,1.80,1.80,,,,,,,,,,,0.00,100.00,0.00,SCALP_15M
172,ARUSDT,15m,pinbar_sell,3.91400000,3.96533050,3.81133900,3.96533050,SL_HIT,SHORT,2025-11-03 12:00:21.067739,2025-11-03 12:21:06.74,2350,3.81133900,3.81133900,3.96533050,100.00,100.00,f,f,SL_HIT,-1.0000,-1.3115,0.04443501,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,2.00,2.00,,,,,,,,,,,0.00,100.00,0.00,SCALP_15M
158,PENDLEUSDT,15m,pinbar_sell,2.77330000,2.79986141,2.72017718,2.79986141,SL_HIT,SHORT,2025-11-03 11:30:13.174646,2025-11-03 12:13:05.503,2336,2.72017718,2.72017718,2.79986141,100.00,100.00,f,f,SL_HIT,-1.0000,-0.9578,0.02787136,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,2.00,2.00,,,,,,,,,,,0.00,100.00,0.00,SCALP_15M
168,POPCATUSDT,15m,fakey_sell,0.13350000,0.13565641,0.12918717,0.13565641,SL_HIT,SHORT,2025-11-03 12:00:15.710379,2025-11-03 14:06:05.868,2346,0.12918717,0.12918717,0.13565641,100.00,100.00,f,f,SL_HIT,-1.0000,-1.6153,0.00152138,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,2.00,2.00,,,,,,,,,,,0.00,100.00,0.00,SCALP_15M
31,TAOUSDT,15m,pinbar_buy,437.63000000,433.46908599,445.95182801,433.46908599,SL_HIT,LONG,2025-10-31 10:45:12.930427,2025-10-31 10:55:01.123,,445.95182801,445.95182801,433.46908599,100.00,100.00,f,f,SL_HIT,-1.0000,-0.9508,3.76971335,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,2.00,2.00,,,,,,,,,,,0.00,100.00,0.00,SCALP_15M
25,FARTCOINUSDT,15m,pinbar_sell,0.33050000,0.33526053,0.32097894,0.33526053,SL_HIT,SHORT,2025-10-31 06:15:11.721584,2025-10-31 07:59:00.997,,0.32097894,0.32097894,0.33526053,100.00,100.00,f,f,SL_HIT,-1.0000,-1.4404,0.00320177,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,2.00,2.00,,,,,,,,,,,0.00,100.00,0.00,SCALP_15M
129,KDAUSDT,15m,pinbar_buy,0.04951000,0.04566656,0.05642819,0.04566656,SL_HIT,LONG,2025-11-03 03:30:12.918414,2025-11-03 07:36:01.098,2285,0.05642819,0.05642819,0.04566656,100.00,100.00,f,f,SL_HIT,-1.0000,-7.7630,0.00194479,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.80,1.80,1.80,,,,,,,,,,,0.00,100.00,0.00,SCALP_15M
33,DYDXUSDT,15m,engulfing_sell,0.30000000,0.30389545,0.29220910,0.30389545,SL_HIT,SHORT,2025-10-31 11:00:20.297614,2025-10-31 11:48:02.89,,0.29220910,0.29220910,0.30389545,100.00,100.00,f,f,SL_HIT,-1.0000,-1.2985,0.00298484,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,2.00,2.00,,,,,,,,,,,0.00,100.00,0.00,SCALP_15M
