id,symbol,timeframe,direction,pattern_type,entry_price,sl_price,tp1_price,tp2_price,tp3_price,exit_type,status,pnl_r,pnl_percent,context_trend_before,context_was_reversal,context_swing_count_20,context_recent_direction,context_distance_from_ema,pattern_score,trend_alignment,clearance_15m,post_sl_outcome,post_sl_max_favorable_r,post_sl_time_to_tp_min,mfe_r,mae_r,signal_time,time_to_sl_min,atr_15m,free_path_r,clearance_1h,r_available,actual_rr_tp1,actual_rr_tp2,actual_rr_tp3,multi_tf_alignment,confluence_score
158,PENDLEUSDT,15m,SHORT,pinbar_sell,2.77330000,2.79986141,2.72017718,2.72017718,2.72017718,SL_HIT,SL_HIT,-1.0000,-0.9578,downtrend,f,6,bearish,-0.5349,4.00,with,,reached_tp3,8.4822,182,1.7394,0.0000,2025-11-03 11:30:13.174646,42,0.02787136,,,,2.00,2.00,2.00,,
157,SANDUSDT,15m,SHORT,pinbar_sell,0.19364000,0.19586237,0.18919525,0.18919525,0.18919525,SL_HIT,SL_HIT,-1.0000,-1.1477,downtrend,f,6,choppy,-0.2403,4.00,with,,reached_tp3,8.8239,67,5.7641,0.0000,2025-11-03 11:30:13.127102,157,0.00170791,,,,2.00,2.00,2.00,,
146,KASUSDT,15m,SHORT,pinbar_sell,0.04905000,0.04948343,0.04818313,0.04818313,0.04818313,SL_HIT,SL_HIT,-1.0000,-0.8836,downtrend,f,6,bearish,-0.0503,3.00,with,,sideways,1.5920,,5.5834,0.0000,2025-11-03 08:00:18.719969,63,0.00044478,,,,2.00,2.00,2.00,,
145,ORDIUSDT,15m,SHORT,pinbar_sell,4.38500000,4.42966930,4.29566140,4.29566140,4.29566140,SL_HIT,SL_HIT,-1.0000,-1.0187,downtrend,t,6,bullish,-0.8525,6.00,with,,sideways,1.7686,,6.8056,0.0000,2025-11-03 08:00:14.728731,65,0.04889767,,,,2.00,2.00,2.00,,
144,1000PEPEUSDT,15m,SHORT,pinbar_sell,0.00616910,0.00623031,0.00604667,0.00604667,0.00604667,SL_HIT,SL_HIT,-1.0000,-0.9922,downtrend,f,6,choppy,-1.0178,8.00,with,,reached_tp3,2.2709,96,7.5445,0.0000,2025-11-03 07:45:27.47716,83,0.00005238,,,,2.00,2.00,2.00,,
143,ARUSDT,15m,SHORT,pinbar_sell,3.89600000,3.94837689,3.79124622,3.79124622,3.79124622,SL_HIT,SL_HIT,-1.0000,-1.3444,downtrend,f,6,choppy,-1.0583,4.00,with,0.30200000,sideways,1.1837,,0.0000,-2.4438,2025-11-03 07:45:27.458651,11,0.04125630,,,,2.00,2.00,2.00,,
142,DOTUSDT,15m,SHORT,pinbar_sell,2.76100000,2.78924594,2.70450811,2.70450811,2.70450811,SL_HIT,SL_HIT,-1.0000,-1.0230,downtrend,f,5,bearish,-1.0537,7.00,with,,sideways,1.4869,,5.7353,0.0000,2025-11-03 07:45:20.29887,80,0.02415314,,,,2.00,2.00,2.00,,
141,UNIUSDT,15m,SHORT,pinbar_sell,5.37400000,5.42317717,5.27564566,5.27564566,5.27564566,SL_HIT,SL_HIT,-1.0000,-0.9151,downtrend,f,6,bearish,-0.8910,4.00,with,,sideways,1.7081,,3.2942,0.0000,2025-11-03 07:45:20.292336,82,0.04725723,,,,2.00,2.00,2.00,,
140,PNUTUSDT,15m,SHORT,pinbar_sell,0.11804000,0.11947958,0.11516084,0.11516084,0.11516084,SL_HIT,SL_HIT,-1.0000,-1.2196,downtrend,f,7,bearish,-0.9882,9.00,with,,reached_tp3,10.0863,67,7.8148,0.0000,2025-11-03 07:45:19.771546,382,0.00119860,,,,2.00,2.00,2.00,,
139,WALUSDT,15m,SHORT,pinbar_sell,0.21560000,0.21834072,0.21011855,0.21011855,0.21011855,SL_HIT,SL_HIT,-1.0000,-1.2712,downtrend,f,5,choppy,-0.8163,7.00,with,,sideways,0.1824,,1.4595,0.0000,2025-11-03 07:45:19.089288,26,0.00213574,,,,2.00,2.00,2.00,,
