id,symbol,timeframe,direction,pattern_type,entry_price,sl_price,tp1_price,tp2_price,tp3_price,exit_type,status,pnl_r,pnl_percent,context_trend_before,context_was_reversal,context_swing_count_20,context_recent_direction,context_distance_from_ema,pattern_score,trend_alignment,clearance_15m,post_sl_outcome,post_sl_max_favorable_r,post_sl_time_to_tp_min,mfe_r,mae_r,signal_time,time_to_sl_min,time_to_tp1_min,time_to_tp2_min,time_to_tp3_min,time_to_be_min,atr_15m,free_path_r,clearance_1h,r_available,actual_rr_tp1,actual_rr_tp2,actual_rr_tp3,multi_tf_alignment,confluence_score,be_activated,trailing_activated,partial_closed,partial_close_p1,partial_close_p2,partial_close_p3,initial_sl,current_sl,position_size,spread_percent,depth_1pct_bid,depth_1pct_ask,order_book_imbalance,volume_24h_usdt,dist_to_dir_h1_zone_atr,dist_to_dir_h4_zone_atr,arrival_pattern,trade_outcome,speed_category,swing_category
134,TSTUSDT,15m,LONG,fakey_buy,0.01698000,0.01644007,0.01805986,0.01805986,0.01805986,TP2_HIT,TP2_HIT,2.0000,6.3596,uptrend,t,10,bullish,0.5931,50.00,with,0.00031000,,,,3.4634,-0.0741,2025-11-05 14:00:17.823912,,,456,,,0.00038322,,0.00000000,,2.00,2.00,2.00,f,,t,f,100.00,0.00,100.00,0.00,0.01644007,0.01805986,100.00,,,,,,,,,Win,Slow (>4h),High (10+)
132,BDXNUSDT,15m,SHORT,pinbar_sell,0.05864000,0.07090162,0.03656909,0.03656909,0.03656909,SL_HIT,SL_HIT,-1.0000,-20.9100,downtrend,t,6,bullish,-5.1954,50.00,with,0.01079000,sideways,0.0000,,0.0995,-2.5886,2025-11-04 23:15:17.342274,640,,,,,0.00490539,,0.00000000,,1.80,1.80,1.80,f,,f,f,100.00,0.00,100.00,0.00,0.07090162,0.07090162,100.00,,,,,,,,,Loss,,Medium (6-9)
123,AIXBTUSDT,15m,SHORT,pinbar_sell,0.07723000,0.07984893,0.07330161,0.07068268,0.06675429,,TP2_HIT,,,,,,,,50.00,with,999.00000000,,,,,,2025-10-30 02:00:17.194992,,,,,,0.00261893,10.0000,0.01116000,3.80,1.50,2.50,4.00,,5,f,f,0.00,,,,0.07984893,0.07984893,100.00,,,,,,12.6306,2.8224,chop,Win,,High (10+)
122,SOPHUSDT,15m,SHORT,fakey_sell,0.02507500,0.02535074,0.02604000,0.02600430,0.02397203,,TP2_HIT,,,,,,,,,,0.00030900,,,,,,2025-10-30 01:15:20.075685,,,,,,0.00027574,1.2127,0.00027500,0.80,,,,,,f,f,0.00,,,,0.02535074,0.02535074,100.00,,,,,,1.3135,4.3835,chop,Win,,High (10+)
121,JASMYUSDT,15m,LONG,fakey_buy,0.01041400,0.01028280,0.00991420,0.01016500,0.01079485,,TP2_HIT,,,,,,,,,,0.00002200,,,,,,2025-10-30 00:15:44.62669,,,,,,0.00013120,0.1723,0.00028600,0.10,,,,,,f,f,0.00,,,,0.01028280,0.01028280,100.00,,,,,,3.7881,3.1387,chop,Win,,High (10+)
120,KASUSDT,15m,SHORT,fakey_sell,0.05817000,0.05946571,0.06101550,0.05933550,0.05298714,,TP2_HIT,,,,,,,,,,0.00006000,,,,,,2025-10-30 00:15:30.880553,,,,,,0.00129571,0.0751,0.00166000,0.00,,,,,,f,f,0.00,,,,0.05946571,0.05946571,100.00,,,,,,4.5569,6.4465,chop,Win,,High (10+)
119,EIGENUSDT,15m,LONG,pinbar_buy,1.09530000,1.07567143,1.06191000,1.07464000,1.09620500,,TP2_HIT,,,,,,,,,,0.05860000,,,,,,2025-10-30 00:15:21.172599,,,,,,0.01962857,2.6430,0.02250000,1.00,,,,,,f,f,0.00,,,,1.07567143,1.07567143,100.00,,,,,,1.3578,0.8471,chop,Win,,High (10+)
117,AVAUSDT,15m,LONG,pinbar_buy,0.46830000,0.44284111,0.49375889,0.51921778,0.46990000,,SL_HIT,,,,,,,,,,,,,,,,2025-10-28 19:15:27.476351,,,,,,0.02303555,,,,,,,,,f,f,0.00,,,,0.44284111,0.44284111,100.00,,,,,,,,,Loss,,High (10+)
116,BIOUSDT,15m,SHORT,pinbar_sell,0.08797000,0.08864491,0.08729509,0.08662017,0.08594526,,TP2_HIT,,,,,,,,,,,,,,,,2025-10-28 17:00:31.038073,,,,,,0.00081966,,,,,,,,,f,f,0.00,,,,0.08864491,0.08864491,100.00,,,,,,,,,Win,,High (10+)
115,AUCTIONUSDT,15m,SHORT,pinbar_sell,7.07000000,7.11597213,7.02700000,6.97805575,6.93208362,,SL_HIT,,,,,,,,,,,,,,,,2025-10-28 17:00:27.526057,,,,,,0.05188851,,,,,,,,,f,f,0.00,,,,7.11597213,7.11597213,100.00,,,,,,,,,Loss,,High (10+)
114,LAUSDT,15m,SHORT,pinbar_sell,0.39960000,0.40540177,0.39830000,0.38799646,0.38219469,,SL_HIT,,,,,,,,,,,,,,,,2025-10-28 16:45:26.971411,,,,,,0.00400708,,,,,,,,,f,f,0.00,,,,0.40540177,0.40540177,100.00,,,,,,,,,Loss,,High (10+)
112,HIPPOUSDT,15m,LONG,pinbar_buy,0.00165800,0.00163625,,0.00170149,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-28 00:45:23.452333,,,,,,,,,,,,,,,f,f,0.00,,,,,0.00163625,100.00,,,,,,,,,Loss,,High (10+)
111,PIPPINUSDT,15m,SHORT,pinbar_sell,0.01797000,0.01836405,,0.01718190,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-28 00:45:19.242189,,,,,,,,,,,,,,,f,f,0.00,,,,,0.01836405,100.00,,,,,,,,,Loss,,High (10+)
110,RIVERUSDT,15m,SHORT,pinbar_sell,7.30500000,7.50718350,,6.90063300,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-28 00:15:24.143239,,,,,,,,,,,,,,,f,f,0.00,,,,,7.50718350,100.00,,,,,,,,,Loss,,High (10+)
109,SOPHUSDT,15m,SHORT,pinbar_sell,0.02848400,0.02873924,,0.02801253,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-27 22:00:30.081625,,,,,,,,,,,,,,,f,f,0.00,,,,,0.02873924,100.00,,,,,,,,,Loss,,High (10+)
108,SKLUSDT,15m,LONG,pinbar_buy,0.02004000,0.01960116,,0.02100769,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-27 22:00:27.085264,,,,,,,,,,,,,,,f,f,0.00,,,,,0.01960116,100.00,,,,,,,,,Loss,,High (10+)
